text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @MovieTrendss: #Rangoon: The #Shahid #Kangana #Saif starrer is sprinkled with magical moments. A must watch on Big Screen
@KanganaDaily…",FALSE,0,NA,25-02-2017 17:12,FALSE,NA,8.35538E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tehmina2531,28,TRUE,FALSE,NA,NA
RT @ShraddhaKapoor: Happy birthday Mr. K! Hearing the most amazing things about you in #Rangoon @shahidkapoor <ed><U+00A0><U+00BC><ed><U+00BC><U+0088><ed><U+00A0><U+00BC><ed><U+00BE><U+0089><ed><U+00A0><U+00BC><ed><U+00BE><U+0088><ed><U+00A0><U+00BC><ed><U+00BE><U+0082><U+2728><ed><U+00A0><U+00BD><ed><U+00B2><U+0095><U+2764>,FALSE,0,NA,25-02-2017 17:11,FALSE,NA,8.35538E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",8a65e3deb087420,378,TRUE,FALSE,NA,NA
RT @sanashaikh72: Saw #Rangoon for the second time and loved it even more!!!! BLOODY HELL!,FALSE,0,NA,25-02-2017 17:11,FALSE,NA,8.35538E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SalmaMasoudOma1,8,TRUE,FALSE,NA,NA
1/2 Grew up watching a macho lover rescuing a panting damsel in distress in #Bollywood. #Rangoon,FALSE,0,NA,25-02-2017 17:11,FALSE,NA,8.35538E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NZehra_,0,FALSE,FALSE,NA,NA
"RT @Bollyhungama: #Rangoon Day 1 (Friday) #USA #boxoffice - 73,018 USD [Rs. 48.65 lacs] from 94 screens
https://t.co/L3GqYa6nkS",FALSE,0,NA,25-02-2017 17:11,FALSE,NA,8.35538E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",atishj7,8,TRUE,FALSE,NA,NA
RT @Dugguholick: Ranbir Kapoor After Watching #Rangoon https://t.co/PwCqHyLMWu,FALSE,0,NA,25-02-2017 17:11,FALSE,NA,8.35538E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sunny1985a,7,TRUE,FALSE,NA,NA
"RT @Bollyhungama: #Rangoon Day 1 (Friday) #USA #boxoffice - 73,018 USD [Rs. 48.65 lacs] from 94 screens
https://t.co/L3GqYa6nkS",FALSE,0,NA,25-02-2017 17:10,FALSE,NA,8.35538E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PerfectlyAdnan,8,TRUE,FALSE,NA,NA
"RT @BoxOfficeWknd: #Rangoon 

First Day Exact : 4.91 Crore 

Producer Fig : 6.07 Crore",FALSE,0,NA,25-02-2017 17:10,FALSE,NA,8.35538E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DeepikazWarrior,4,TRUE,FALSE,NA,NA
"RT @BoxOfficeWknd: #Rangoon 

First Day Exact : 4.91 Crore 

Producer Fig : 6.07 Crore",FALSE,0,NA,25-02-2017 17:10,FALSE,NA,8.35537E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",abhirockstar09,4,TRUE,FALSE,NA,NA
"RT @DolbyIn: A tale of love, war &amp; deceit - watch #SaifAliKhan, #KanganaRanaut &amp; @ShahidKapoor's #Rangoon in #DolbyAtmos &amp; share with us yo…",FALSE,0,NA,25-02-2017 17:10,FALSE,NA,8.35537E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",V46065,29,TRUE,FALSE,NA,NA
